Fecha;Fecha valor;Concepto;Importe;Saldo
15/06/2026;15/06/2026;MICROSOFT*MICROSOFT 365;-7,12;3.357,16
15/06/2026;15/06/2026;ZARA.COM PEDIDO;-63,44;3.293,72
16/06/2026;17/06/2026;GOOGLE *YOUTUBE PREMIUM;-11,99;3.281,73
17/06/2026;17/06/2026;RENFE BILLETE *6155;-34,04;3.247,69
17/06/2026;17/06/2026;UBER *TRIP;-8,58;3.239,11
18/06/2026;18/06/2026;RESTAURANTE EL RINCON;-44,16;3.194,95
18/06/2026;18/06/2026;IKEA ONLINE;-58,03;3.136,92
18/06/2026;18/06/2026;IKEA ONLINE;-54,23;3.082,69
19/06/2026;19/06/2026;FARMACIA CENTRAL;-16,02;3.066,67
19/06/2026;19/06/2026;RESTAURANTE EL RINCON;-34,13;3.032,54
19/06/2026;19/06/2026;PAYPAL *STEAM GAMES;-48,07;2.984,47
20/06/2026;21/06/2026;DISNEY PLUS *ES;-8,99;2.975,48
20/06/2026;20/06/2026;GASOLINERA REPSOL;-67,40;2.908,08
20/06/2026;20/06/2026;GASOLINERA REPSOL;-50,83;2.857,25
20/06/2026;20/06/2026;BIZUM RECIBIDO PEPE;5,47;2.862,72
22/06/2026;23/06/2026;BASIC-FIT MADRID 003;-29,31;2.833,41
22/06/2026;22/06/2026;SUPERMERCADO DIA 112;-22,98;2.810,43
22/06/2026;22/06/2026;BIZUM ENVIADO ANA;-49,87;2.760,56
23/06/2026;23/06/2026;BIZUM RECIBIDO PEPE;12,31;2.772,87
23/06/2026;23/06/2026;SUPERMERCADO DIA 112;-22,78;2.750,09
24/06/2026;24/06/2026;RESTAURANTE EL RINCON;-39,69;2.710,40
26/06/2026;26/06/2026;BIZUM ENVIADO ANA;-49,21;2.661,19
26/06/2026;26/06/2026;FARMACIA CENTRAL;-12,41;2.648,78
27/06/2026;27/06/2026;GASOLINERA REPSOL *8962;-66,78;2.582,00
28/06/2026;29/06/2026;MOVISTAR RGU FIBRA;-45,00;2.537,00
28/06/2026;28/06/2026;RESTAURANTE EL RINCON;-27,98;2.509,02
29/06/2026;29/06/2026;CABIFY*RIDE;-7,20;2.501,82
30/06/2026;30/06/2026;UBER *TRIP;-10,96;2.490,86
30/06/2026;30/06/2026;IKEA ONLINE;-117,05;2.373,81
30/06/2026;30/06/2026;RENFE BILLETE;-17,49;2.356,32
01/07/2026;01/07/2026;TRANSFERENCIA NOMINA EMPRESA SL;1.450,00;3.806,32
01/07/2026;01/07/2026;BIZUM RECIBIDO PEPE;23,49;3.829,81
01/07/2026;01/07/2026;UBER *TRIP;-20,69;3.809,12
01/07/2026;01/07/2026;GASOLINERA REPSOL;-47,32;3.761,80
02/07/2026;02/07/2026;MERCADONA TIENDA 4218;-77,10;3.684,70
03/07/2026;03/07/2026;MANTENIMIENTO CUENTA;-6,00;3.678,70
03/07/2026;03/07/2026;CUOTA TARJETA VISA;-3,50;3.675,20
04/07/2026;04/07/2026;SUPERMERCADO DIA 112;-33,72;3.641,48
05/07/2026;05/07/2026;APPLE.COM/BILL *4821;-9,99;3.631,49
05/07/2026;05/07/2026;ZARA.COM PEDIDO;-50,24;3.581,25
05/07/2026;05/07/2026;RESTAURANTE EL RINCON;-25,38;3.555,87
06/07/2026;07/07/2026;NETFLIX.COM;-12,74;3.543,13
06/07/2026;06/07/2026;PAYPAL *STEAM GAMES;-30,62;3.512,51
07/07/2026;07/07/2026;SPOTIFY  AB  P1*88A2;-10,99;3.501,52
07/07/2026;07/07/2026;FARMACIA CENTRAL;-7,66;3.493,86
07/07/2026;07/07/2026;ATM RETIRADA EFECTIVO *2612;-80,55;3.413,31
07/07/2026;07/07/2026;MERCADONA TIENDA 4218;-63,51;3.349,80
08/07/2026;09/07/2026;AMAZON PRIME*AB12;-4,99;3.344,81
08/07/2026;08/07/2026;BIZUM RECIBIDO PEPE;23,37;3.368,18
09/07/2026;09/07/2026;CABIFY*RIDE;-8,53;3.359,65
11/07/2026;11/07/2026;PAYPAL *STEAM GAMES;-14,71;3.344,94
11/07/2026;11/07/2026;SUPERMERCADO DIA 112;-32,93;3.312,01
11/07/2026;11/07/2026;BIZUM RECIBIDO PEPE;5,60;3.317,61
12/07/2026;13/07/2026;ADOBE SYSTEMS *CC;-24,99;3.292,62
12/07/2026;12/07/2026;BIZUM ENVIADO ANA;-41,25;3.251,37
12/07/2026;12/07/2026;MERCADONA TIENDA 4218;-73,26;3.178,11
12/07/2026;12/07/2026;RENFE BILLETE;-34,14;3.143,97
13/07/2026;13/07/2026;CABIFY*RIDE;-9,34;3.134,63
13/07/2026;13/07/2026;IKEA ONLINE;-58,95;3.075,68
13/07/2026;13/07/2026;BIZUM ENVIADO ANA;-43,66;3.032,02
14/07/2026;14/07/2026;MERCADONA TIENDA 4218;-56,28;2.975,74
15/07/2026;15/07/2026;MICROSOFT*MICROSOFT 365;-6,99;2.968,75
16/07/2026;17/07/2026;GOOGLE *YOUTUBE PREMIUM;-11,99;2.956,76
16/07/2026;16/07/2026;MERCADONA TIENDA 4218 *4044;-59,20;2.897,56
17/07/2026;17/07/2026;COMISION TRANSFERENCIA;-0,90;2.896,66
19/07/2026;19/07/2026;RENFE BILLETE;-40,09;2.856,57
20/07/2026;21/07/2026;DISNEY PLUS *ES;-8,82;2.847,75
22/07/2026;23/07/2026;BASIC-FIT MADRID 003;-30,49;2.817,26
22/07/2026;22/07/2026;CABIFY*RIDE;-13,82;2.803,44
22/07/2026;22/07/2026;FARMACIA CENTRAL;-15,23;2.788,21
23/07/2026;23/07/2026;ZARA.COM PEDIDO;-37,13;2.751,08
24/07/2026;24/07/2026;PAYPAL *STEAM GAMES *8508;-11,67;2.739,41
24/07/2026;24/07/2026;GASOLINERA REPSOL;-46,94;2.692,47
26/07/2026;26/07/2026;BIZUM RECIBIDO PEPE;15,86;2.708,33
27/07/2026;27/07/2026;SUPERMERCADO DIA 112;-25,00;2.683,33
27/07/2026;27/07/2026;RESTAURANTE EL RINCON;-37,06;2.646,27
28/07/2026;29/07/2026;MOVISTAR RGU FIBRA;-45,00;2.601,27
29/07/2026;29/07/2026;ZARA.COM PEDIDO;-81,52;2.519,75
29/07/2026;29/07/2026;RESTAURANTE EL RINCON;-44,17;2.475,58
31/07/2026;31/07/2026;CABIFY*RIDE;-12,23;2.463,35
01/08/2026;01/08/2026;TRANSFERENCIA NOMINA EMPRESA SL;1.450,00;3.913,35
01/08/2026;01/08/2026;UBER *TRIP;-7,93;3.905,42
01/08/2026;01/08/2026;CABIFY*RIDE;-7,65;3.897,77
03/08/2026;03/08/2026;MANTENIMIENTO CUENTA;-6,00;3.891,77
03/08/2026;03/08/2026;CUOTA TARJETA VISA;-3,50;3.888,27
04/08/2026;04/08/2026;ATM RETIRADA EFECTIVO *6464;-154,67;3.733,60
04/08/2026;04/08/2026;PAYPAL *STEAM GAMES;-44,64;3.688,96
04/08/2026;04/08/2026;CABIFY*RIDE;-14,70;3.674,26
05/08/2026;05/08/2026;APPLE.COM/BILL *4821;-9,80;3.664,46
06/08/2026;07/08/2026;NETFLIX.COM;-12,99;3.651,47
06/08/2026;06/08/2026;BIZUM RECIBIDO PEPE;6,47;3.657,94
07/08/2026;07/08/2026;SPOTIFY AB P1*88A2;-10,78;3.647,16
07/08/2026;07/08/2026;RESTAURANTE EL RINCON;-53,29;3.593,87
07/08/2026;07/08/2026;PAYPAL *STEAM GAMES;-10,17;3.583,70
07/08/2026;07/08/2026;FARMACIA CENTRAL;-16,40;3.567,30
08/08/2026;09/08/2026;AMAZON PRIME*AB12;-4,99;3.562,31
08/08/2026;08/08/2026;GASOLINERA REPSOL;-39,31;3.523,00
08/08/2026;08/08/2026;UBER *TRIP;-18,68;3.504,32
08/08/2026;08/08/2026;PAYPAL *STEAM GAMES;-42,74;3.461,58
10/08/2026;10/08/2026;IKEA ONLINE;-95,58;3.366,00
11/08/2026;11/08/2026;PAYPAL *STEAM GAMES;-22,56;3.343,44
11/08/2026;11/08/2026;PAYPAL *STEAM GAMES;-39,83;3.303,61
11/08/2026;11/08/2026;PAYPAL *STEAM GAMES;-21,27;3.282,34
12/08/2026;13/08/2026;ADOBE SYSTEMS *CC;-24,99;3.257,35
12/08/2026;12/08/2026;UBER *TRIP;-5,28;3.252,07
13/08/2026;13/08/2026;CABIFY*RIDE;-13,34;3.238,73
13/08/2026;13/08/2026;ZARA.COM PEDIDO;-74,18;3.164,55
14/08/2026;14/08/2026;ATM RETIRADA EFECTIVO;-188,63;2.975,92
14/08/2026;14/08/2026;CABIFY*RIDE;-10,81;2.965,11
15/08/2026;15/08/2026;MICROSOFT*MICROSOFT 365;-7,12;2.957,99
15/08/2026;15/08/2026;MERCADONA TIENDA 4218;-75,28;2.882,71
15/08/2026;15/08/2026;CABIFY*RIDE;-14,35;2.868,36
16/08/2026;17/08/2026;GOOGLE  *YOUTUBE  PREMIUM;-11,99;2.856,37
16/08/2026;16/08/2026;FARMACIA CENTRAL;-12,16;2.844,21
16/08/2026;16/08/2026;BIZUM RECIBIDO PEPE;9,73;2.853,94
16/08/2026;16/08/2026;GASOLINERA REPSOL;-62,22;2.791,72
17/08/2026;17/08/2026;COMISION TRANSFERENCIA;-0,90;2.790,82
17/08/2026;17/08/2026;MERCADONA TIENDA 4218;-58,71;2.732,11
17/08/2026;17/08/2026;BIZUM RECIBIDO PEPE;13,07;2.745,18
17/08/2026;17/08/2026;SUPERMERCADO DIA 112;-21,48;2.723,70
19/08/2026;19/08/2026;BIZUM RECIBIDO PEPE;17,66;2.741,36
19/08/2026;19/08/2026;FARMACIA CENTRAL;-8,52;2.732,84
20/08/2026;21/08/2026;DISNEY  PLUS  *ES;-8,82;2.724,02
20/08/2026;20/08/2026;ZARA.COM PEDIDO;-58,95;2.665,07
20/08/2026;20/08/2026;RESTAURANTE EL RINCON;-29,79;2.635,28
20/08/2026;20/08/2026;RENFE BILLETE;-22,56;2.612,72
21/08/2026;21/08/2026;CABIFY*RIDE;-13,70;2.599,02
21/08/2026;21/08/2026;GASOLINERA REPSOL;-45,16;2.553,86
22/08/2026;23/08/2026;BASIC-FIT MADRID 003;-30,49;2.523,37
22/08/2026;22/08/2026;BIZUM RECIBIDO PEPE;24,38;2.547,75
23/08/2026;23/08/2026;ZARA.COM PEDIDO;-83,06;2.464,69
24/08/2026;24/08/2026;SUPERMERCADO DIA 112;-25,38;2.439,31
24/08/2026;24/08/2026;UBER *TRIP;-5,49;2.433,82
27/08/2026;27/08/2026;BIZUM ENVIADO ANA;-24,97;2.408,85
28/08/2026;29/08/2026;MOVISTAR RGU FIBRA;-45,00;2.363,85
28/08/2026;28/08/2026;IKEA ONLINE;-87,09;2.276,76
29/08/2026;29/08/2026;RESTAURANTE EL RINCON;-28,13;2.248,63
31/08/2026;31/08/2026;UBER *TRIP;-18,40;2.230,23
31/08/2026;31/08/2026;IKEA ONLINE;-65,14;2.165,09
31/08/2026;31/08/2026;BIZUM RECIBIDO PEPE;15,20;2.180,29
01/09/2026;01/09/2026;TRANSFERENCIA NOMINA EMPRESA SL;1.450,00;3.630,29
02/09/2026;02/09/2026;RESTAURANTE EL RINCON;-22,18;3.608,11
02/09/2026;02/09/2026;BIZUM RECIBIDO PEPE;27,89;3.636,00
02/09/2026;02/09/2026;PAYPAL *STEAM GAMES;-13,48;3.622,52
03/09/2026;03/09/2026;MANTENIMIENTO CUENTA;-6,00;3.616,52
03/09/2026;03/09/2026;CUOTA TARJETA VISA;-3,50;3.613,02
03/09/2026;03/09/2026;ATM RETIRADA EFECTIVO;-51,43;3.561,59
03/09/2026;03/09/2026;RESTAURANTE EL RINCON;-24,54;3.537,05
03/09/2026;03/09/2026;BIZUM ENVIADO ANA;-39,39;3.497,66
04/09/2026;04/09/2026;PAYPAL *STEAM GAMES;-18,14;3.479,52
04/09/2026;04/09/2026;ZARA.COM PEDIDO;-70,41;3.409,11
05/09/2026;05/09/2026;APPLE.COM/BILL *4821;-9,99;3.399,12
05/09/2026;05/09/2026;CABIFY*RIDE;-11,13;3.387,99
06/09/2026;07/09/2026;NETFLIX.COM;-12,74;3.375,25
06/09/2026;06/09/2026;UBER *TRIP;-14,16;3.361,09
07/09/2026;07/09/2026;SPOTIFY  AB  P1*88A2;-10,99;3.350,10
07/09/2026;07/09/2026;FARMACIA CENTRAL;-5,92;3.344,18
07/09/2026;07/09/2026;UBER *TRIP;-4,95;3.339,23
07/09/2026;07/09/2026;PAYPAL *STEAM GAMES;-26,07;3.313,16
08/09/2026;09/09/2026;AMAZON PRIME*AB12;-4,99;3.308,17
08/09/2026;08/09/2026;BIZUM ENVIADO ANA;-49,76;3.258,41
08/09/2026;08/09/2026;CABIFY*RIDE;-10,02;3.248,39
08/09/2026;08/09/2026;ATM RETIRADA EFECTIVO;-131,35;3.117,04
08/09/2026;08/09/2026;COMISION DESCUBIERTO;-12,00;2.397,30
09/09/2026;09/09/2026;BIZUM ENVIADO ANA;-41,02;3.076,02
10/09/2026;10/09/2026;MERCADONA TIENDA 4218;-64,08;3.011,94
10/09/2026;10/09/2026;ZARA.COM PEDIDO;-24,62;2.987,32
10/09/2026;10/09/2026;RESTAURANTE EL RINCON;-20,58;2.966,74
11/09/2026;11/09/2026;GASOLINERA REPSOL *7455;-48,13;2.918,61
12/09/2026;13/09/2026;ADOBE SYSTEMS *CC;-24,50;2.894,11
14/09/2026;14/09/2026;RESTAURANTE EL RINCON;-19,50;2.874,61
14/09/2026;14/09/2026;MERCADONA TIENDA 4218;-69,35;2.805,26
14/09/2026;14/09/2026;UBER *TRIP;-12,69;2.792,57
15/09/2026;15/09/2026;MICROSOFT*MICROSOFT 365;-7,12;2.785,45
15/09/2026;15/09/2026;CABIFY*RIDE;-16,33;2.769,12
15/09/2026;15/09/2026;IKEA ONLINE *6733;-61,63;2.707,49
15/09/2026;15/09/2026;UBER *TRIP *1659;-8,69;2.698,80
16/09/2026;17/09/2026;GOOGLE *YOUTUBE PREMIUM;-11,99;2.686,81
16/09/2026;16/09/2026;ATM RETIRADA EFECTIVO;-196,67;2.490,14
16/09/2026;16/09/2026;NETFLIX COM;-12,99;2.409,30
17/09/2026;17/09/2026;COMISION TRANSFERENCIA;-0,90;2.489,24
17/09/2026;17/09/2026;RESTAURANTE EL RINCON;-35,61;2.453,63
17/09/2026;17/09/2026;INGRESO EFECTIVO CAJERO;50,00;2.447,30
18/09/2026;18/09/2026;BIZUM ENVIADO ANA;-21,35;2.432,28
18/09/2026;18/09/2026;APPLE.COM/BILL;-9,99;2.422,29
